date,pertamina_90,pertamina_92,pertamina_95,pertamina_98,shell_92,shell_95,shell_98,bp_92,bp_95,vivo_90,vivo_92,vivo_95
2022-01-01,7650.0,9000.0,,12000.0,12040.0,12560.0,12790.0,,,,11900.0,12500.0
2022-02-01,7650.0,9000.0,,12000.0,12990.0,13550.0,13750.0,11990.0,12560.0,,11900.0,12500.0
2022-03-01,7650.0,9000.0,,13500.0,12990.0,14500.0,14990.0,12500.0,13900.0,8900.0,11900.0,12500.0
2022-04-01,7650.0,12500.0,,14500.0,16000.0,16500.0,18040.0,12990.0,14500.0,8900.0,11900.0,13990.0
2022-05-01,7650.0,12500.0,,14500.0,16630.0,17280.0,17440.0,14500.0,15990.0,12400.0,12900.0,15900.0
2022-06-01,7650.0,12500.0,,14500.0,17500.0,18500.0,19420.0,15990.0,17990.0,12400.0,13900.0,15900.0
2022-07-01,7650.0,12500.0,,14500.0,18500.0,19990.0,21280.0,17990.0,19990.0,12400.0,15900.0,17900.0
2022-08-01,7650.0,12500.0,,16200.0,17300.0,18300.0,18520.0,17315.0,18310.0,9990.0,17500.0,19500.0
2022-09-01,7650.0,12500.0,,15900.0,15420.0,16130.0,16510.0,15420.0,16130.0,8900.0,15400.0,16100.0
2022-10-01,10000.0,13900.0,,14950.0,15420.0,16130.0,16510.0,14150.0,14840.0,8900.0,15400.0,16100.0
2022-11-01,10000.0,13900.0,,14300.0,13550.0,14210.0,14560.0,14150.0,14840.0,12600.0,14140.0,14830.0
2022-12-01,10000.0,13900.0,,15200.0,14180.0,15100.0,15530.0,14150.0,14700.0,12600.0,14140.0,14830.0
2023-01-01,10000.0,13900.0,,15200.0,14180.0,15100.0,15530.0,13030.0,13910.0,11800.0,12800.0,13600.0
2023-02-01,10000.0,12800.0,,14850.0,13950.0,14620.0,14980.0,13950.0,14620.0,13710.0,13800.0,14470.0
2023-03-01,10000.0,13300.0,,15100.0,13990.0,14890.0,15240.0,13950.0,14890.0,13400.0,14000.0,14700.0
2023-04-01,10000.0,13300.0,,15000.0,13990.0,14790.0,15100.0,13950.0,14790.0,11600.0,13800.0,14595.0
2023-05-01,10000.0,13300.0,,15000.0,13990.0,14850.0,15120.0,13990.0,14850.0,11800.0,13926.0,14651.0
2023-06-01,10000.0,12500.0,,13600.0,12630.0,13400.0,13670.0,12630.0,13400.0,11200.0,12400.0,13200.0
2023-07-01,10000.0,12400.0,,14000.0,12920.0,13780.0,14120.0,12920.0,13780.0,11200.0,12700.0,13580.0
2023-08-01,10000.0,12400.0,13500.0,14400.0,13280.0,14190.0,14540.0,12990.0,14190.0,11300.0,13087.0,13995.0
2023-09-01,10000.0,13300.0,15000.0,15900.0,14760.0,15650.0,16010.0,13500.0,15650.0,11300.0,14460.0,15450.0
2023-10-01,10000.0,14000.0,16000.0,16600.0,15380.0,16350.0,16730.0,14580.0,16350.0,12500.0,15080.0,16150.0
2023-11-01,10000.0,13400.0,15000.0,15500.0,14360.0,15270.0,15590.0,14360.0,15270.0,12200.0,14100.0,15100.0
